title,description,category,start_date,end_date,location_text,latitude,longitude,price,website,poster_url
FM Cornellà,Actuació castellera amb Castellers de Cornellà i Castellers de Sants a la Plaça de l'Església de Cornellà de Llobregat.,theatre,2026-06-07,2026-06-07,"Minyons de Terrassa, Carrer de Mare de Déu dels Àngels, 21, 08221 Terrassa, Barcelona, Espanya",41.5660415,2.0084698,,,https://minyons.cat/wp-content/plugins/template-events-calendar/assets/images/event-template-bg.png
Diada del Pati (Valls),"Actuació castellera amb Colla Joves Xiquets de Valls, Castellers de Barcelona, Castellers de Sants i Moixiganguers d'Igualada a la Plaça El Pati de Valls.",theatre,2026-06-13,2026-06-13,"Minyons de Terrassa, Carrer de Mare de Déu dels Àngels, 21, 08221 Terrassa, Barcelona, Espanya",41.5660415,2.0084698,,,https://minyons.cat/wp-content/uploads/2023/05/logo_minyons-de-terrassa.jpg
Actuació (Hora per confirmar),"Actuació castellera a Can Torres, Barcelona. Horari per confirmar.",theatre,2026-06-20,,"Minyons de Terrassa, Carrer de Mare de Déu dels Àngels, 21, 08221 Terrassa, Barcelona, Espanya",41.5660415,2.0084698,,,https://minyons.cat/wp-content/uploads/2023/05/logo_minyons-de-terrassa.jpg
FM Sant Cugat,Actuació castellera amb Castellers de Sant Cugat i Nens del Vendrell a la Plaça d'Octavià de Sant Cugat del Vallès.,theatre,2026-06-27,2026-06-27,"Minyons de Terrassa, Carrer de Mare de Déu dels Àngels, 21, 08221 Terrassa, Barcelona, Espanya",41.5660415,2.0084698,,,https://minyons.cat/wp-content/uploads/2023/05/logo_minyons-de-terrassa.jpg
Assaig al CARRER,Assaig obert i públic de castells a la Plaça Vella de Terrassa.,theatre,2026-06-29,2026-06-29,"Minyons de Terrassa, Carrer de Mare de Déu dels Àngels, 21, 08221 Terrassa, Barcelona, Espanya",41.5660415,2.0084698,,,https://minyons.cat/wp-content/uploads/2023/05/logo_minyons-de-terrassa.jpg
Vigília de Festa Major,Actuació castellera amb Castellers de Terrassa a la Plaça Vella de Terrassa.,theatre,2026-07-04,2026-07-04,"Minyons de Terrassa, Carrer de Mare de Déu dels Àngels, 21, 08221 Terrassa, Barcelona, Espanya",41.5660415,2.0084698,,,https://minyons.cat/wp-content/uploads/2023/05/logo_minyons-de-terrassa.jpg
Festa Major,Actuació castellera amb Colla Vella Xiquets de Valls i Castellers de Terrassa al Raval de Montserrat de Terrassa.,theatre,2026-07-05,2026-07-05,"Minyons de Terrassa, Carrer de Mare de Déu dels Àngels, 21, 08221 Terrassa, Barcelona, Espanya",41.5660415,2.0084698,,,https://minyons.cat/wp-content/uploads/2023/05/logo_minyons-de-terrassa.jpg
Cabrera de Mar,Actuació castellera amb Capgrossos de Mataró a la Plaça de l’Ajuntament de Cabrera de Mar.,theatre,2026-07-18,2026-07-18,"Minyons de Terrassa, Carrer de Mare de Déu dels Àngels, 21, 08221 Terrassa, Barcelona, Espanya",41.5660415,2.0084698,,,https://minyons.cat/wp-content/uploads/2023/05/logo_minyons-de-terrassa.jpg
Les Santes,Actuació castellera amb Capgrossos de Mataró i Castellers de Vilafranca a la Plaça de Santa Anna de Mataró.,theatre,2026-07-25,2026-07-25,"Minyons de Terrassa, Carrer de Mare de Déu dels Àngels, 21, 08221 Terrassa, Barcelona, Espanya",41.5660415,2.0084698,,,https://minyons.cat/wp-content/uploads/2023/05/logo_minyons-de-terrassa.jpg
